id,seed,creation_mode,error_val,dem_fpr_val,actual_depth,actual_leaves,error_tst,dem_fpr_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
WZRURYTI1W,100,crossover,0.32467437054931625,1.9806576617396876e-05,19,333,0.3364093969842996,0.010734957598600083,0,19,18,333,7,6
EPC5TN6LN6,100,mutation,0.16876800408980652,0.06465874310939623,9,155,0.1845753593807733,0.04855893366291805,0,9,12,185,3,5
NUXH3AKSS2,100,mutation,0.17704177164674584,0.05057348726402375,12,182,0.19178407794101593,0.05902620565596739,0,12,11,182,3,3
CLICX553YH,100,crossover,0.19818857282770608,0.042001756878094335,12,189,0.2004482449734094,0.047648802604045554,0,12,11,189,4,5
3D9BA9GNH0,100,crossover,0.2975782646376903,7.40140494650196e-05,15,498,0.2933823362917902,0.007896725363746498,0,15,25,1021,6,5
EC0FEUVAYR,100,mutation,0.17415843610825177,0.052841861512416294,11,137,0.18963695225858002,0.05015357505598454,0,11,12,137,3,5
IC6DB61YYO,100,inicialization,0.27831993983052283,0.005092375093473142,5,26,0.2810723059848569,0.0007281048470979823,0,5,27,641,5,2
TW0C4BK42E,100,crossover,0.2222813603536804,0.024918758287488636,11,213,0.22402493043566407,0.02424084362265813,1,11,37,1079,5,3
MQTOFA9XGU,100,crossover,0.26147427754739694,0.005346733235296573,15,330,0.2624341566875682,0.023216754977422628,0,15,15,330,5,5
Z90HYAZRY4,100,mutation,0.2857774908818771,0.0007891357104931745,17,595,0.28611670544386525,0.020598024939120642,0,17,29,1353,6,5
RYRGFRNYTJ,100,crossover,0.23807612419166113,0.02119164704541475,14,191,0.23139841509584314,0.016970502575900333,1,14,16,191,5,7
4WEZ915P0E,100,crossover,0.2472668404610483,0.01868906871561648,13,190,0.2518534498252176,0.012581988276900102,1,13,15,190,5,7
ZWP8LLGXD4,100,mutation,0.23749963639407146,0.02469115639828872,14,198,0.23505177979466318,0.016217158800279005,1,14,17,198,5,7
RO9GP69EXU,100,crossover,0.253902047602528,0.013336080771914414,15,294,0.25574593834965176,0.024806042658378095,0,15,13,294,5,5
8DHAGEAPIF,100,crossover,0.20269892849582027,0.03811410812027943,14,176,0.2025748633488138,0.04908589189784507,0,14,14,176,4,6
KGLPF6GWTT,100,crossover,0.20383820764903404,0.031877816356201474,11,170,0.20469191653321817,0.04351573685434232,0,11,12,170,4,6
DP0WL9GYQX,100,mutation,0.20374142751224544,0.03320937427897111,11,174,0.20547459544430313,0.04214059765782743,0,11,12,174,4,6
YBYPORNAIG,100,mutation,0.259636696072689,0.009495342327140707,15,361,0.2585170179836398,0.023887498623331165,0,15,15,361,5,5
5VNUJAEG7Z,100,mutation,0.2574410952832129,0.011509358433709822,15,290,0.258827064398892,0.024419045754353337,0,15,14,290,5,5
9E2ECPZHP8,100,crossover,0.22057755458445338,0.028987098621462273,11,195,0.22379160802205245,0.023087501070742422,1,11,23,195,4,4
QNSZZQVBRP,100,inicialization,0.2145337323443175,0.030787064707043357,8,88,0.21902663351599838,0.03202972992816848,1,8,27,224,4,2
Z5QVB4N9G8,100,crossover,0.24822801849021814,0.015189559362742508,13,183,0.249262470500339,0.013141833600509058,1,13,15,183,5,7
UY4LQGHAWI,100,crossover,0.28813770408838657,0.0007231137884351896,17,692,0.28595444058914044,0.015339914830088466,0,17,21,1409,6,4
ULU4FJ9LIZ,100,crossover,0.2601698766765914,0.006102857984760748,15,342,0.2588906925429413,0.021606817264038965,0,15,15,342,5,5
92ZNCIPC7F,100,crossover,0.2213349038996354,0.02684590344398144,11,221,0.22376923104391244,0.022679854134289454,1,11,29,502,4,3
SCT5PVI3DC,100,crossover,0.21473982327118546,0.03031865654423191,9,128,0.2197197859918154,0.025948677786071794,0,9,32,1426,4,3
2L9GLN9EV7,100,crossover,0.24770358732667586,0.016808833872164884,13,189,0.25115854174332963,0.012174341340447141,1,13,15,189,5,7
USM6IRZO6Z,100,crossover,0.23763078902253232,0.023071881888866337,14,193,0.23297927063528034,0.016196508767850802,1,14,16,193,5,7
3QM9BSIWPB,100,crossover,0.1749726537352737,0.051537059842270166,11,165,0.190105686346429,0.05249620651256133,0,11,12,165,3,5
4YHU1K82ZU,100,mutation,0.2001597432503256,0.03915794945639635,14,203,0.20287862632626874,0.04945223876944163,0,14,12,203,4,6
